 2035   911   314   197    64    82     2    68     0     0     0 
 3647  4336  1506   697   127   343    16   344     1     0   141 
 5537  6542  1943   919   204   445    22   337     3     0   131 
 6429  6886  2266  1178   191   435    25   374     1     0   120 
 4103  4562  1748   919   110   228     4   331     0     0   104 
 1369  1579   718   601    42   137    11   237     0     0    70 
  233   336   223   232    33    49    14   138     0     0   105 
   11    30    33    55    11    20     2    73     2     0    67 
    0     7     1    43     0    14     5     9     1     0    66 
    0     0     0     1     0     0     0     0     0     0    14 
    0     0     0     0     0     0     0     0     0     0    69 
29236 14367  8506  2572  1055   789   135   393    15     0    93 
